k,Outcome_group,period,time_bin_left,time_bin_right,time_bin_mid,time_bin,n_obs,n_subjects,sws_min,sws_q25,sws_median,sws_mean,sws_q75,sws_max
6,All,Prepartum,-4,-2,-3,"[-4.0,-2.0)",2,2,1.52696666666667,1.6649279166666697,1.8028891666666698,1.8028891666666698,1.9408504166666698,2.07881166666667
6,All,Prepartum,-2,0,-1,"[-2.0,0.0)",9,9,1.36427833333333,1.49683333333333,1.78234,1.7232129629629622,1.83013833333333,2.18537666666667
6,All,Postpartum,4,6,5,"[4.0,6.0)",4,4,2.78582,3.132935,3.6215725,3.5090065,3.997644,4.007061
6,All,Postpartum,6,8,7,"[6.0,8.0)",33,33,1.997776,3.025854,3.58422,3.530713212121212,4.051435,4.901587
6,All,Postpartum,8,10,9,"[8.0,10.0)",8,8,2.607498,2.6893085,3.1594335,3.3162115,3.865465,4.399807
6,FTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",11,11,1.36977166666667,1.58976083333333,1.848725,1.816837121212122,1.9781333333333349,2.38484666666667
6,FTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",7,7,1.37683,1.548808333333335,1.71282666666667,1.7449747619047629,1.758240833333335,2.51106833333333
6,FTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.50008166666667,1.52311416666667,1.5461466666666701,1.54600777777778,1.568970833333335,1.591795
6,FTB,Postpartum,4,6,5,"[4.0,6.0)",4,4,2.78582,3.132935,3.6215725,3.5090065,3.997644,4.007061
6,FTB,Postpartum,6,8,7,"[6.0,8.0)",24,24,1.997776,2.9506765,3.420208,3.421609666666667,3.895045,4.468907
6,FTB,Postpartum,8,10,9,"[8.0,10.0)",6,6,2.611415,3.13752675,3.4978805,3.5344868333333332,4.011367,4.399807
6,sPTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",8,8,1.41790666666667,1.4871762499999999,1.664459166666665,1.682921875,1.807925833333335,2.114445
6,sPTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",6,6,1.38513833333333,1.61082916666667,1.910665833333335,1.928725555555555,2.256689999999997,2.48296833333333
6,sPTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.57356166666667,1.7688375,1.96411333333333,1.9083222222222234,2.0757025000000002,2.18729166666667
6,sPTB,Prepartum,-4,-2,-3,"[-4.0,-2.0)",2,2,1.52696666666667,1.6649279166666697,1.8028891666666698,1.8028891666666698,1.9408504166666698,2.07881166666667
6,sPTB,Prepartum,-2,0,-1,"[-2.0,0.0)",9,9,1.36427833333333,1.49683333333333,1.78234,1.7232129629629622,1.83013833333333,2.18537666666667
6,sPTB,Postpartum,6,8,7,"[6.0,8.0)",9,9,3.015869,3.33414,3.698894,3.821656,4.329331,4.901587
6,sPTB,Postpartum,8,10,9,"[8.0,10.0)",2,2,2.607498,2.63444175,2.6613854999999997,2.6613854999999997,2.68832925,2.715273
7,All,Prepartum,-10,-8,-9,"[-10.0,-8.0)",19,19,1.36250714285714,1.5153578571428552,1.79509571428571,1.7584463157894725,1.934925714285715,2.38432857142857
7,All,Prepartum,-8,-6,-7,"[-8.0,-6.0)",13,13,1.37389428571429,1.58280714285714,1.72666428571429,1.827137912087913,2.07791571428571,2.55786285714286
7,All,Prepartum,-6,-4,-5,"[-6.0,-4.0)",6,6,1.48274714285714,1.5534971428571422,1.588634285714285,1.7240233333333317,1.8504342857142824,2.20463857142857
7,All,Prepartum,-4,-2,-3,"[-4.0,-2.0)",2,2,1.54960285714286,1.6851242857142874,1.8206457142857149,1.8206457142857149,1.9561671428571423,2.09168857142857
7,All,Prepartum,-2,0,-1,"[-2.0,0.0)",9,9,1.34802714285714,1.50773714285714,1.75503,1.7306682539682534,1.85952428571429,2.20808714285714
7,All,Postpartum,4,6,5,"[4.0,6.0)",4,4,2.78582,3.132935,3.6215725,3.5090065,3.997644,4.007061
7,All,Postpartum,6,8,7,"[6.0,8.0)",33,33,1.997776,3.025854,3.58422,3.530713212121212,4.051435,4.901587
7,All,Postpartum,8,10,9,"[8.0,10.0)",8,8,2.607498,2.6893085,3.1594335,3.3162115,3.865465,4.399807
7,FTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",11,11,1.36250714285714,1.5795035714285701,1.84634714285714,1.8006751948051944,1.934925714285715,2.38432857142857
7,FTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",7,7,1.37389428571429,1.5469585714285699,1.68442142857143,1.7502679591836743,1.77089,2.55786285714286
7,FTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.48274714285714,1.5141478571428548,1.54554857142857,1.5352128571428567,1.561445714285715,1.57734285714286
7,FTB,Postpartum,4,6,5,"[4.0,6.0)",4,4,2.78582,3.132935,3.6215725,3.5090065,3.997644,4.007061
7,FTB,Postpartum,6,8,7,"[6.0,8.0)",24,24,1.997776,2.9506765,3.420208,3.421609666666667,3.895045,4.468907
7,FTB,Postpartum,8,10,9,"[8.0,10.0)",6,6,2.611415,3.13752675,3.4978805,3.5344868333333332,4.011367,4.399807
7,sPTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",8,8,1.40092857142857,1.5086464285714252,1.66451357142857,1.700381607142855,1.8429532142857101,2.11646142857143
7,sPTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",6,6,1.38592285714286,1.6187714285714274,1.90229,1.916819523809525,2.209974642857145,2.47361285714286
7,sPTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.59992571428571,1.766931428571425,1.93393714285714,1.9128338095238067,2.069287857142855,2.20463857142857
7,sPTB,Prepartum,-4,-2,-3,"[-4.0,-2.0)",2,2,1.54960285714286,1.6851242857142874,1.8206457142857149,1.8206457142857149,1.9561671428571423,2.09168857142857
7,sPTB,Prepartum,-2,0,-1,"[-2.0,0.0)",9,9,1.34802714285714,1.50773714285714,1.75503,1.7306682539682534,1.85952428571429,2.20808714285714
7,sPTB,Postpartum,6,8,7,"[6.0,8.0)",9,9,3.015869,3.33414,3.698894,3.821656,4.329331,4.901587
7,sPTB,Postpartum,8,10,9,"[8.0,10.0)",2,2,2.607498,2.63444175,2.6613854999999997,2.6613854999999997,2.68832925,2.715273
8,All,Prepartum,-10,-8,-9,"[-10.0,-8.0)",19,19,1.35636125,1.5091056250000001,1.8147,1.7734726315789473,1.943786875,2.3995375
8,All,Prepartum,-8,-6,-7,"[-8.0,-6.0)",13,13,1.36491375,1.55447375,1.72786125,1.8147440384615385,2.05981625,2.54484375
8,All,Prepartum,-6,-4,-5,"[-6.0,-4.0)",6,6,1.4639325,1.53701125,1.57876375,1.705451875,1.8074434375,2.2044875
8,All,Prepartum,-4,-2,-3,"[-4.0,-2.0)",2,2,1.58412375,1.7233943750000003,1.8626650000000002,1.8626650000000002,2.001935625,2.14120625
8,All,Prepartum,-2,0,-1,"[-2.0,0.0)",9,9,1.34018625,1.5004875,1.73852125,1.7351976388888888,1.93749,2.22552375
8,All,Postpartum,4,6,5,"[4.0,6.0)",4,4,2.78582,3.132935,3.6215725,3.5090065,3.997644,4.007061
8,All,Postpartum,6,8,7,"[6.0,8.0)",33,33,1.997776,3.025854,3.58422,3.530713212121212,4.051435,4.901587
8,All,Postpartum,8,10,9,"[8.0,10.0)",8,8,2.607498,2.6893085,3.1594335,3.3162115,3.865465,4.399807
8,FTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",11,11,1.35636125,1.592158125,1.86358375,1.8153852272727273,1.955224375,2.3995375
8,FTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",7,7,1.36963375,1.5499162499999999,1.66051875,1.7437017857142858,1.765541875,2.54484375
8,FTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.4639325,1.494726875,1.52552125,1.5203116666666667,1.54850125,1.57148125
8,FTB,Postpartum,4,6,5,"[4.0,6.0)",4,4,2.78582,3.132935,3.6215725,3.5090065,3.997644,4.007061
8,FTB,Postpartum,6,8,7,"[6.0,8.0)",24,24,1.997776,2.9506765,3.420208,3.421609666666667,3.895045,4.468907
8,FTB,Postpartum,8,10,9,"[8.0,10.0)",6,6,2.611415,3.13752675,3.4978805,3.5344868333333332,4.011367,4.399807
8,sPTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",8,8,1.38628625,1.5081212499999999,1.717925625,1.7158428125,1.8573328125,2.12220875
8,sPTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",6,6,1.36491375,1.5978206250000002,1.89383875,1.8976266666666666,2.1651321875000002,2.4784575
8,sPTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.58604625,1.733644375,1.8812425,1.8905920833333334,2.042865,2.2044875
8,sPTB,Prepartum,-4,-2,-3,"[-4.0,-2.0)",2,2,1.58412375,1.7233943750000003,1.8626650000000002,1.8626650000000002,2.001935625,2.14120625
8,sPTB,Prepartum,-2,0,-1,"[-2.0,0.0)",9,9,1.34018625,1.5004875,1.73852125,1.7351976388888888,1.93749,2.22552375
8,sPTB,Postpartum,6,8,7,"[6.0,8.0)",9,9,3.015869,3.33414,3.698894,3.821656,4.329331,4.901587
8,sPTB,Postpartum,8,10,9,"[8.0,10.0)",2,2,2.607498,2.63444175,2.6613854999999997,2.6613854999999997,2.68832925,2.715273
9,All,Prepartum,-10,-8,-9,"[-10.0,-8.0)",19,19,1.36500555555556,1.501483888888885,1.79839555555556,1.7673076023391816,1.934566666666665,2.43796666666667
9,All,Prepartum,-8,-6,-7,"[-8.0,-6.0)",13,13,1.37190888888889,1.55417777777778,1.72022,1.81502282051282,2.01178,2.55225666666667
9,All,Prepartum,-6,-4,-5,"[-6.0,-4.0)",6,6,1.45210111111111,1.5247041666666699,1.5706472222222199,1.6967816666666666,1.7989661111111124,2.20283222222222
9,All,Prepartum,-4,-2,-3,"[-4.0,-2.0)",2,2,1.58051888888889,1.7281680555555574,1.8758172222222251,1.8758172222222251,2.0234663888888926,2.17111555555556
9,All,Prepartum,-2,0,-1,"[-2.0,0.0)",9,9,1.34416555555556,1.49042666666667,1.73755444444444,1.7530560493827179,1.98950888888889,2.22581888888889
9,All,Postpartum,4,6,5,"[4.0,6.0)",4,4,2.78582,3.132935,3.6215725,3.5090065,3.997644,4.007061
9,All,Postpartum,6,8,7,"[6.0,8.0)",33,33,1.997776,3.025854,3.58422,3.530713212121212,4.051435,4.901587
9,All,Postpartum,8,10,9,"[8.0,10.0)",8,8,2.607498,2.6893085,3.1594335,3.3162115,3.865465,4.399807
9,FTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",11,11,1.36500555555556,1.579316666666665,1.83135888888889,1.8037847474747482,1.934566666666665,2.43796666666667
9,FTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",7,7,1.37268222222222,1.5464705555555551,1.68583444444444,1.7517087301587286,1.77912333333333,2.55225666666667
9,FTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.45210111111111,1.4810433333333348,1.50998555555556,1.5115070370370367,1.54121,1.57243444444444
9,FTB,Postpartum,4,6,5,"[4.0,6.0)",4,4,2.78582,3.132935,3.6215725,3.5090065,3.997644,4.007061
9,FTB,Postpartum,6,8,7,"[6.0,8.0)",24,24,1.997776,2.9506765,3.420208,3.421609666666667,3.895045,4.468907
9,FTB,Postpartum,8,10,9,"[8.0,10.0)",6,6,2.611415,3.13752675,3.4978805,3.5344868333333332,4.011367,4.399807
9,sPTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",8,8,1.38215555555556,1.5052936111111075,1.71478611111111,1.7171515277777776,1.8790069444444475,2.09448222222222
9,sPTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",6,6,1.37190888888889,1.5956883333333352,1.866,1.88888925925926,2.1330424999999975,2.50178555555556
9,sPTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.56886,1.721668333333335,1.87447666666667,1.8820562962962966,2.038654444444445,2.20283222222222
9,sPTB,Prepartum,-4,-2,-3,"[-4.0,-2.0)",2,2,1.58051888888889,1.7281680555555574,1.8758172222222251,1.8758172222222251,2.0234663888888926,2.17111555555556
9,sPTB,Prepartum,-2,0,-1,"[-2.0,0.0)",9,9,1.34416555555556,1.49042666666667,1.73755444444444,1.7530560493827179,1.98950888888889,2.22581888888889
9,sPTB,Postpartum,6,8,7,"[6.0,8.0)",9,9,3.015869,3.33414,3.698894,3.821656,4.329331,4.901587
9,sPTB,Postpartum,8,10,9,"[8.0,10.0)",2,2,2.607498,2.63444175,2.6613854999999997,2.6613854999999997,2.68832925,2.715273
10,All,Prepartum,-10,-8,-9,"[-10.0,-8.0)",19,19,1.356054,1.4917319999999998,1.801316,1.772374789473684,1.9531710000000002,2.459181
10,All,Prepartum,-8,-6,-7,"[-8.0,-6.0)",13,13,1.376342,1.541168,1.718488,1.8138422307692308,2.011454,2.508147
10,All,Prepartum,-6,-4,-5,"[-6.0,-4.0)",6,6,1.450764,1.51228425,1.55169,1.68641,1.7930819999999998,2.191621
10,All,Prepartum,-4,-2,-3,"[-4.0,-2.0)",2,2,1.580704,1.7268940000000002,1.873084,1.873084,2.0192740000000002,2.165464
10,All,Prepartum,-2,0,-1,"[-2.0,0.0)",9,9,1.33611,1.49801,1.737924,1.75187,1.977823,2.245964
10,All,Postpartum,4,6,5,"[4.0,6.0)",4,4,2.78582,3.132935,3.6215725,3.5090065,3.997644,4.007061
10,All,Postpartum,6,8,7,"[6.0,8.0)",33,33,1.997776,3.025854,3.58422,3.530713212121212,4.051435,4.901587
10,All,Postpartum,8,10,9,"[8.0,10.0)",8,8,2.607498,2.6893085,3.1594335,3.3162115,3.865465,4.399807
10,FTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",11,11,1.356054,1.5808309999999999,1.817267,1.8048366363636363,1.960827,2.459181
10,FTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",7,7,1.376342,1.5389119999999998,1.712565,1.7501317142857142,1.788022,2.508147
10,FTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.450764,1.4771455,1.503527,1.5063716666666667,1.5341755,1.564824
10,FTB,Postpartum,4,6,5,"[4.0,6.0)",4,4,2.78582,3.132935,3.6215725,3.5090065,3.997644,4.007061
10,FTB,Postpartum,6,8,7,"[6.0,8.0)",24,24,1.997776,2.9506765,3.420208,3.421609666666667,3.895045,4.468907
10,FTB,Postpartum,8,10,9,"[8.0,10.0)",6,6,2.611415,3.13752675,3.4978805,3.5344868333333332,4.011367,4.399807
10,sPTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",8,8,1.391795,1.49666925,1.736581,1.72773975,1.89251125,2.102905
10,sPTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",6,6,1.383666,1.585498,1.8649710000000002,1.8881711666666667,2.132747,2.501073
10,sPTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.538556,1.703862,1.869168,1.8664483333333333,2.0303945,2.191621
10,sPTB,Prepartum,-4,-2,-3,"[-4.0,-2.0)",2,2,1.580704,1.7268940000000002,1.873084,1.873084,2.0192740000000002,2.165464
10,sPTB,Prepartum,-2,0,-1,"[-2.0,0.0)",9,9,1.33611,1.49801,1.737924,1.75187,1.977823,2.245964
10,sPTB,Postpartum,6,8,7,"[6.0,8.0)",9,9,3.015869,3.33414,3.698894,3.821656,4.329331,4.901587
10,sPTB,Postpartum,8,10,9,"[8.0,10.0)",2,2,2.607498,2.63444175,2.6613854999999997,2.6613854999999997,2.68832925,2.715273
