k,Visit_ID,period,n_obs,n_subjects,time_to_delivery_min_weeks,time_to_delivery_max_weeks,sws_q25,sws_median,sws_mean,sws_q75
1,1,Prepartum,66,66,-19.142857142857114,-0.14285714285719564,1.6878675,2.100995,2.246295303030303,2.5964600000000004
1,2,Prepartum,53,53,-15.714285714285719,-0.8571428571428967,1.54497,1.93076,2.058664528301887,2.44666
1,3,Postpartum,11,11,6.142857142857316,9.000000000000128,3.072006,3.58422,3.6106977272727274,4.074532
1,4,Postpartum,4,4,12.714285714285595,16.57142857142854,3.1610055,3.707381,3.9503765,4.496752
1,5,Postpartum,4,4,26.571428571428676,29.714285714285786,3.0284495000000002,3.1868305,3.3181665000000002,3.4765474999999997
1,6,Postpartum,2,2,39.999999999999936,42.85714285714305,2.821931,3.068387,3.068387,3.3148429999999998
1,7,Postpartum,3,3,49.57142857142853,58.714285714285644,3.0666195,3.254268,3.36032,3.6009945
2,1,Prepartum,66,66,-19.142857142857114,-0.14285714285719564,1.73582625,2.1199899999999996,2.229843787878788,2.47802375
2,2,Prepartum,53,53,-15.714285714285719,-0.8571428571428967,1.610985,1.94041,2.0403849056603773,2.33543
2,3,Postpartum,11,11,6.142857142857316,9.000000000000128,3.072006,3.58422,3.6106977272727274,4.074532
2,4,Postpartum,4,4,12.714285714285595,16.57142857142854,3.1610055,3.707381,3.9503765,4.496752
2,5,Postpartum,4,4,26.571428571428676,29.714285714285786,3.0284495000000002,3.1868305,3.3181665000000002,3.4765474999999997
2,6,Postpartum,2,2,39.999999999999936,42.85714285714305,2.821931,3.068387,3.068387,3.3148429999999998
2,7,Postpartum,3,3,49.57142857142853,58.714285714285644,3.0666195,3.254268,3.36032,3.6009945
3,1,Prepartum,66,66,-19.142857142857114,-0.14285714285719564,1.77366083333333,2.1038050000000004,2.2358115151515148,2.553451666666665
3,2,Prepartum,53,53,-15.714285714285719,-0.8571428571428967,1.54187,1.92372,2.0252966037735853,2.32385666666667
3,3,Postpartum,11,11,6.142857142857316,9.000000000000128,3.072006,3.58422,3.6106977272727274,4.074532
3,4,Postpartum,4,4,12.714285714285595,16.57142857142854,3.1610055,3.707381,3.9503765,4.496752
3,5,Postpartum,4,4,26.571428571428676,29.714285714285786,3.0284495000000002,3.1868305,3.3181665000000002,3.4765474999999997
3,6,Postpartum,2,2,39.999999999999936,42.85714285714305,2.821931,3.068387,3.068387,3.3148429999999998
3,7,Postpartum,3,3,49.57142857142853,58.714285714285644,3.0666195,3.254268,3.36032,3.6009945
4,1,Prepartum,66,66,-19.142857142857114,-0.14285714285719564,1.803006875,2.1182862499999997,2.24336125,2.553038125
4,2,Prepartum,53,53,-15.714285714285719,-0.8571428571428967,1.538095,1.946705,2.024595896226415,2.262625
4,3,Postpartum,11,11,6.142857142857316,9.000000000000128,3.072006,3.58422,3.6106977272727274,4.074532
4,4,Postpartum,4,4,12.714285714285595,16.57142857142854,3.1610055,3.707381,3.9503765,4.496752
4,5,Postpartum,4,4,26.571428571428676,29.714285714285786,3.0284495000000002,3.1868305,3.3181665000000002,3.4765474999999997
4,6,Postpartum,2,2,39.999999999999936,42.85714285714305,2.821931,3.068387,3.068387,3.3148429999999998
4,7,Postpartum,3,3,49.57142857142853,58.714285714285644,3.0666195,3.254268,3.36032,3.6009945
5,1,Prepartum,66,66,-19.142857142857114,-0.14285714285719564,1.77545,2.08935,2.2352321818181817,2.5805445
5,2,Prepartum,53,53,-15.714285714285719,-0.8571428571428967,1.543258,1.885252,2.014263924528302,2.290694
5,3,Postpartum,11,11,6.142857142857316,9.000000000000128,3.072006,3.58422,3.6106977272727274,4.074532
5,4,Postpartum,4,4,12.714285714285595,16.57142857142854,3.1610055,3.707381,3.9503765,4.496752
5,5,Postpartum,4,4,26.571428571428676,29.714285714285786,3.0284495000000002,3.1868305,3.3181665000000002,3.4765474999999997
5,6,Postpartum,2,2,39.999999999999936,42.85714285714305,2.821931,3.068387,3.068387,3.3148429999999998
5,7,Postpartum,3,3,49.57142857142853,58.714285714285644,3.0666195,3.254268,3.36032,3.6009945
6,1,Prepartum,66,66,-19.142857142857114,-0.14285714285719564,1.7630766666666675,2.0985025,2.2338845454545453,2.651253333333332
6,2,Prepartum,53,53,-15.714285714285719,-0.8571428571428967,1.54772833333333,1.921055,2.0121252830188676,2.30077333333333
6,3,Postpartum,11,11,6.142857142857316,9.000000000000128,3.072006,3.58422,3.6106977272727274,4.074532
6,4,Postpartum,4,4,12.714285714285595,16.57142857142854,3.1610055,3.707381,3.9503765,4.496752
6,5,Postpartum,4,4,26.571428571428676,29.714285714285786,3.0284495000000002,3.1868305,3.3181665000000002,3.4765474999999997
6,6,Postpartum,2,2,39.999999999999936,42.85714285714305,2.821931,3.068387,3.068387,3.3148429999999998
6,7,Postpartum,3,3,49.57142857142853,58.714285714285644,3.0666195,3.254268,3.36032,3.6009945
7,1,Prepartum,66,66,-19.142857142857114,-0.14285714285719564,1.7626796428571452,2.09878714285714,2.23167987012987,2.636425714285713
7,2,Prepartum,53,53,-15.714285714285719,-0.8571428571428967,1.55170285714286,1.93034142857143,2.012007951482479,2.30785428571429
7,3,Postpartum,11,11,6.142857142857316,9.000000000000128,3.072006,3.58422,3.6106977272727274,4.074532
7,4,Postpartum,4,4,12.714285714285595,16.57142857142854,3.1610055,3.707381,3.9503765,4.496752
7,5,Postpartum,4,4,26.571428571428676,29.714285714285786,3.0284495000000002,3.1868305,3.3181665000000002,3.4765474999999997
7,6,Postpartum,2,2,39.999999999999936,42.85714285714305,2.821931,3.068387,3.068387,3.3148429999999998
7,7,Postpartum,3,3,49.57142857142853,58.714285714285644,3.0666195,3.254268,3.36032,3.6009945
8,1,Prepartum,66,66,-19.142857142857114,-0.14285714285719564,1.7404662499999999,2.1275899999999996,2.2343760227272726,2.62301875
8,2,Prepartum,53,53,-15.714285714285719,-0.8571428571428967,1.58200875,1.9541925,2.007856863207547,2.289625
8,3,Postpartum,11,11,6.142857142857316,9.000000000000128,3.072006,3.58422,3.6106977272727274,4.074532
8,4,Postpartum,4,4,12.714285714285595,16.57142857142854,3.1610055,3.707381,3.9503765,4.496752
8,5,Postpartum,4,4,26.571428571428676,29.714285714285786,3.0284495000000002,3.1868305,3.3181665000000002,3.4765474999999997
8,6,Postpartum,2,2,39.999999999999936,42.85714285714305,2.821931,3.068387,3.068387,3.3148429999999998
8,7,Postpartum,3,3,49.57142857142853,58.714285714285644,3.0666195,3.254268,3.36032,3.6009945
9,1,Prepartum,66,66,-19.142857142857114,-0.14285714285719564,1.73662861111111,2.142309444444445,2.237675892255892,2.6340388888888877
9,2,Prepartum,53,53,-15.714285714285719,-0.8571428571428967,1.55417777777778,1.92335,1.9987291404612164,2.26849666666667
9,3,Postpartum,11,11,6.142857142857316,9.000000000000128,3.072006,3.58422,3.6106977272727274,4.074532
9,4,Postpartum,4,4,12.714285714285595,16.57142857142854,3.1610055,3.707381,3.9503765,4.496752
9,5,Postpartum,4,4,26.571428571428676,29.714285714285786,3.0284495000000002,3.1868305,3.3181665000000002,3.4765474999999997
9,6,Postpartum,2,2,39.999999999999936,42.85714285714305,2.821931,3.068387,3.068387,3.3148429999999998
9,7,Postpartum,3,3,49.57142857142853,58.714285714285644,3.0666195,3.254268,3.36032,3.6009945
10,1,Prepartum,66,66,-19.142857142857114,-0.14285714285719564,1.7387695,2.1409089999999997,2.2390227962962963,2.6453267499999997
10,2,Prepartum,53,53,-15.714285714285719,-0.8571428571428967,1.541168,1.93802,1.9986042264150943,2.293092
10,3,Postpartum,11,11,6.142857142857316,9.000000000000128,3.072006,3.58422,3.6106977272727274,4.074532
10,4,Postpartum,4,4,12.714285714285595,16.57142857142854,3.1610055,3.707381,3.9503765,4.496752
10,5,Postpartum,4,4,26.571428571428676,29.714285714285786,3.0284495000000002,3.1868305,3.3181665000000002,3.4765474999999997
10,6,Postpartum,2,2,39.999999999999936,42.85714285714305,2.821931,3.068387,3.068387,3.3148429999999998
10,7,Postpartum,3,3,49.57142857142853,58.714285714285644,3.0666195,3.254268,3.36032,3.6009945
