k,Outcome_label,period,time_bin_left,time_bin_right,time_bin_mid,time_bin,n_obs,n_subjects,sws_q25,sws_median,sws_mean,sws_q75
1,FTB,Prepartum,-24,-22,-23,"[-24.0,-22.0)",8,8,1.908945,2.182325,2.30631625,2.6601375000000003
1,FTB,Prepartum,-22,-20,-21,"[-22.0,-20.0)",108,108,1.9862975,2.51809,2.595353240740741,3.2201224999999996
1,FTB,Prepartum,-20,-18,-19,"[-20.0,-18.0)",216,216,1.9175550000000001,2.318085,2.4293288425925925,2.8868300000000002
1,FTB,Prepartum,-18,-16,-17,"[-18.0,-16.0)",176,176,1.726475,2.06093,2.1980815909090907,2.625165
1,FTB,Prepartum,-16,-14,-15,"[-16.0,-14.0)",172,172,1.6287625000000001,1.97925,2.0977947093023257,2.374185
1,FTB,Prepartum,-14,-12,-13,"[-14.0,-12.0)",105,105,1.56829,1.96925,2.141922,2.61647
1,FTB,Prepartum,-12,-10,-11,"[-12.0,-10.0)",31,31,1.613515,2.05035,2.1092103225806453,2.5321949999999998
1,FTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",11,11,1.646575,1.8044,1.8016,1.98332
1,FTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",7,7,1.423355,1.7522,1.7293142857142856,1.83683
1,FTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.45152,1.52618,1.60851,1.724335
1,FTB,Postpartum,4,6,5,"[4.0,6.0)",4,4,3.132935,3.6215725,3.5090065,3.997644
1,FTB,Postpartum,6,8,7,"[6.0,8.0)",24,24,2.9506765,3.420208,3.421609666666667,3.895045
1,FTB,Postpartum,8,10,9,"[8.0,10.0)",6,6,3.13752675,3.4978805,3.5344868333333332,4.011367
1,FTB,Postpartum,12,14,13,"[12.0,14.0)",8,8,2.9942080000000004,3.215834,3.3900705,3.6481209999999997
1,FTB,Postpartum,14,16,15,"[14.0,16.0)",12,12,2.6592905,3.027723,3.119373583333333,3.3059647500000002
1,FTB,Postpartum,16,18,17,"[16.0,18.0)",1,1,4.128421,4.128421,4.128421,4.128421
1,FTB,Postpartum,24,26,25,"[24.0,26.0)",2,2,2.7655024999999998,2.9738689999999997,2.9738689999999997,3.1822355
1,FTB,Postpartum,26,28,27,"[26.0,28.0)",11,11,2.8936605,3.158801,3.0945204545454548,3.1908835
1,FTB,Postpartum,28,30,29,"[28.0,30.0)",1,1,4.131779,4.131779,4.131779,4.131779
1,FTB,Postpartum,30,32,31,"[30.0,32.0)",2,2,3.5894285000000004,3.675975,3.675975,3.7625215
1,FTB,Postpartum,32,34,33,"[32.0,34.0)",1,1,3.71426,3.71426,3.71426,3.71426
1,FTB,Postpartum,34,36,35,"[34.0,36.0)",1,1,3.38197,3.38197,3.38197,3.38197
1,FTB,Postpartum,36,38,37,"[36.0,38.0)",1,1,3.812707,3.812707,3.812707,3.812707
1,FTB,Postpartum,38,40,39,"[38.0,40.0)",4,4,3.3804852499999996,3.8045419999999996,3.5100875,3.9341442499999997
1,FTB,Postpartum,40,42,41,"[40.0,42.0)",6,6,2.9781435,3.207904,3.1302891666666666,3.54823475
1,FTB,Postpartum,42,44,43,"[42.0,44.0)",2,2,3.17258075,3.2358725,3.2358725,3.29916425
1,FTB,Postpartum,44,46,45,"[44.0,46.0)",1,1,2.663547,2.663547,2.663547,2.663547
1,FTB,Postpartum,48,50,49,"[48.0,50.0)",1,1,2.91082,2.91082,2.91082,2.91082
1,FTB,Postpartum,50,52,51,"[50.0,52.0)",3,3,3.241694,3.414548,3.3154019999999997,3.438683
1,FTB,Postpartum,52,54,53,"[52.0,54.0)",5,5,2.952814,3.250316,3.4484848,3.39502
1,FTB,Postpartum,54,56,55,"[54.0,56.0)",4,4,2.3213945000000002,2.685853,2.5685925,2.933051
1,sPTB,Prepartum,-20,-18,-19,"[-20.0,-18.0)",2,2,2.42313,2.43493,2.43493,2.44673
1,sPTB,Prepartum,-18,-16,-17,"[-18.0,-16.0)",17,17,1.66847,1.99733,2.2528123529411763,2.7427
1,sPTB,Prepartum,-16,-14,-15,"[-16.0,-14.0)",27,27,1.9969800000000002,2.41197,2.3893196296296297,2.731135
1,sPTB,Prepartum,-14,-12,-13,"[-14.0,-12.0)",24,24,1.654485,2.02816,2.1150758333333335,2.3622924999999997
1,sPTB,Prepartum,-12,-10,-11,"[-12.0,-10.0)",21,21,1.64802,2.12359,2.3120980952380954,2.79142
1,sPTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",8,8,1.3835425000000001,1.71524,1.7526362500000001,1.9459799999999998
1,sPTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",6,6,1.6610925,2.181095,2.0774533333333336,2.4328600000000002
1,sPTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.59254,1.87571,1.8680366666666666,2.14737
1,sPTB,Prepartum,-4,-2,-3,"[-4.0,-2.0)",2,2,1.66669,1.78553,1.78553,1.9043700000000001
1,sPTB,Prepartum,-2,0,-1,"[-2.0,0.0)",9,9,1.49265,1.54758,1.6342833333333333,1.84371
1,sPTB,Postpartum,6,8,7,"[6.0,8.0)",9,9,3.33414,3.698894,3.821656,4.329331
1,sPTB,Postpartum,8,10,9,"[8.0,10.0)",2,2,2.63444175,2.6613854999999997,2.6613854999999997,2.68832925
1,sPTB,Postpartum,12,14,13,"[12.0,14.0)",1,1,3.988905,3.988905,3.988905,3.988905
1,sPTB,Postpartum,14,16,15,"[14.0,16.0)",2,2,3.2799115,4.193372,4.193372,5.1068325
1,sPTB,Postpartum,16,18,17,"[16.0,18.0)",1,1,3.425857,3.425857,3.425857,3.425857
1,sPTB,Postpartum,26,28,27,"[26.0,28.0)",2,2,3.4765474999999997,3.6368359999999997,3.6368359999999997,3.7971245000000002
1,sPTB,Postpartum,28,30,29,"[28.0,30.0)",2,2,2.9705445,2.999497,2.999497,3.0284495000000002
1,sPTB,Postpartum,38,40,39,"[38.0,40.0)",1,1,3.561299,3.561299,3.561299,3.561299
1,sPTB,Postpartum,42,44,43,"[42.0,44.0)",1,1,2.575475,2.575475,2.575475,2.575475
1,sPTB,Postpartum,48,50,49,"[48.0,50.0)",1,1,3.947721,3.947721,3.947721,3.947721
1,sPTB,Postpartum,52,54,53,"[52.0,54.0)",1,1,2.878971,2.878971,2.878971,2.878971
1,sPTB,Postpartum,58,60,59,"[58.0,60.0)",1,1,3.254268,3.254268,3.254268,3.254268
2,FTB,Prepartum,-24,-22,-23,"[-24.0,-22.0)",8,8,1.9440175000000002,2.1688549999999998,2.298101875,2.60853
2,FTB,Prepartum,-22,-20,-21,"[-22.0,-20.0)",109,109,1.919635,2.45666,2.5621821559633027,3.188555
2,FTB,Prepartum,-20,-18,-19,"[-20.0,-18.0)",216,216,1.90980375,2.3398725000000002,2.4409289351851853,2.8687662499999997
2,FTB,Prepartum,-18,-16,-17,"[-18.0,-16.0)",176,176,1.7401174999999998,2.08941,2.206650596590909,2.59682125
2,FTB,Prepartum,-16,-14,-15,"[-16.0,-14.0)",173,173,1.639805,1.95799,2.072063554913295,2.387735
2,FTB,Prepartum,-14,-12,-13,"[-14.0,-12.0)",105,105,1.62428,2.049705,2.163164476190476,2.543035
2,FTB,Prepartum,-12,-10,-11,"[-12.0,-10.0)",31,31,1.6262750000000001,2.08902,2.08508064516129,2.4775075
2,FTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",11,11,1.7054624999999999,1.837575,1.8512386363636364,1.932135
2,FTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",7,7,1.44986,1.68008,1.748575,1.87065
2,FTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.472185,1.495375,1.536985,1.5809799999999998
2,FTB,Postpartum,4,6,5,"[4.0,6.0)",4,4,3.132935,3.6215725,3.5090065,3.997644
2,FTB,Postpartum,6,8,7,"[6.0,8.0)",24,24,2.9506765,3.420208,3.421609666666667,3.895045
2,FTB,Postpartum,8,10,9,"[8.0,10.0)",6,6,3.13752675,3.4978805,3.5344868333333332,4.011367
2,FTB,Postpartum,12,14,13,"[12.0,14.0)",8,8,2.9942080000000004,3.215834,3.3900705,3.6481209999999997
2,FTB,Postpartum,14,16,15,"[14.0,16.0)",12,12,2.6592905,3.027723,3.119373583333333,3.3059647500000002
2,FTB,Postpartum,16,18,17,"[16.0,18.0)",1,1,4.128421,4.128421,4.128421,4.128421
2,FTB,Postpartum,24,26,25,"[24.0,26.0)",2,2,2.7655024999999998,2.9738689999999997,2.9738689999999997,3.1822355
2,FTB,Postpartum,26,28,27,"[26.0,28.0)",11,11,2.8936605,3.158801,3.0945204545454548,3.1908835
2,FTB,Postpartum,28,30,29,"[28.0,30.0)",1,1,4.131779,4.131779,4.131779,4.131779
2,FTB,Postpartum,30,32,31,"[30.0,32.0)",2,2,3.5894285000000004,3.675975,3.675975,3.7625215
2,FTB,Postpartum,32,34,33,"[32.0,34.0)",1,1,3.71426,3.71426,3.71426,3.71426
2,FTB,Postpartum,34,36,35,"[34.0,36.0)",1,1,3.38197,3.38197,3.38197,3.38197
2,FTB,Postpartum,36,38,37,"[36.0,38.0)",1,1,3.812707,3.812707,3.812707,3.812707
2,FTB,Postpartum,38,40,39,"[38.0,40.0)",4,4,3.3804852499999996,3.8045419999999996,3.5100875,3.9341442499999997
2,FTB,Postpartum,40,42,41,"[40.0,42.0)",6,6,2.9781435,3.207904,3.1302891666666666,3.54823475
2,FTB,Postpartum,42,44,43,"[42.0,44.0)",2,2,3.17258075,3.2358725,3.2358725,3.29916425
2,FTB,Postpartum,44,46,45,"[44.0,46.0)",1,1,2.663547,2.663547,2.663547,2.663547
2,FTB,Postpartum,48,50,49,"[48.0,50.0)",1,1,2.91082,2.91082,2.91082,2.91082
2,FTB,Postpartum,50,52,51,"[50.0,52.0)",3,3,3.241694,3.414548,3.3154019999999997,3.438683
2,FTB,Postpartum,52,54,53,"[52.0,54.0)",5,5,2.952814,3.250316,3.4484848,3.39502
2,FTB,Postpartum,54,56,55,"[54.0,56.0)",4,4,2.3213945000000002,2.685853,2.5685925,2.933051
2,sPTB,Prepartum,-20,-18,-19,"[-20.0,-18.0)",2,2,2.4263512499999997,2.4448075,2.4448075,2.4632637500000003
2,sPTB,Prepartum,-18,-16,-17,"[-18.0,-16.0)",17,17,1.66936,2.097355,2.2324373529411763,2.81641
2,sPTB,Prepartum,-16,-14,-15,"[-16.0,-14.0)",27,27,1.9464625,2.285485,2.378366851851852,2.8385100000000003
2,sPTB,Prepartum,-14,-12,-13,"[-14.0,-12.0)",24,24,1.7349649999999999,1.972185,2.092155,2.2194025
2,sPTB,Prepartum,-12,-10,-11,"[-12.0,-10.0)",21,21,1.613185,2.107715,2.269784761904762,2.909485
2,sPTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",8,8,1.3873324999999999,1.6665,1.687421875,1.8405325
2,sPTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",6,6,1.676705,2.0612675,2.0047458333333332,2.38359125
2,sPTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.710345,1.98877,1.8971033333333334,2.129695
2,sPTB,Prepartum,-4,-2,-3,"[-4.0,-2.0)",2,2,1.685295,1.7304849999999998,1.7304849999999998,1.7756750000000001
2,sPTB,Prepartum,-2,0,-1,"[-2.0,0.0)",9,9,1.623525,1.686585,1.7439783333333334,1.858125
2,sPTB,Postpartum,6,8,7,"[6.0,8.0)",9,9,3.33414,3.698894,3.821656,4.329331
2,sPTB,Postpartum,8,10,9,"[8.0,10.0)",2,2,2.63444175,2.6613854999999997,2.6613854999999997,2.68832925
2,sPTB,Postpartum,12,14,13,"[12.0,14.0)",1,1,3.988905,3.988905,3.988905,3.988905
2,sPTB,Postpartum,14,16,15,"[14.0,16.0)",2,2,3.2799115,4.193372,4.193372,5.1068325
2,sPTB,Postpartum,16,18,17,"[16.0,18.0)",1,1,3.425857,3.425857,3.425857,3.425857
2,sPTB,Postpartum,26,28,27,"[26.0,28.0)",2,2,3.4765474999999997,3.6368359999999997,3.6368359999999997,3.7971245000000002
2,sPTB,Postpartum,28,30,29,"[28.0,30.0)",2,2,2.9705445,2.999497,2.999497,3.0284495000000002
2,sPTB,Postpartum,38,40,39,"[38.0,40.0)",1,1,3.561299,3.561299,3.561299,3.561299
2,sPTB,Postpartum,42,44,43,"[42.0,44.0)",1,1,2.575475,2.575475,2.575475,2.575475
2,sPTB,Postpartum,48,50,49,"[48.0,50.0)",1,1,3.947721,3.947721,3.947721,3.947721
2,sPTB,Postpartum,52,54,53,"[52.0,54.0)",1,1,2.878971,2.878971,2.878971,2.878971
2,sPTB,Postpartum,58,60,59,"[58.0,60.0)",1,1,3.254268,3.254268,3.254268,3.254268
3,FTB,Prepartum,-24,-22,-23,"[-24.0,-22.0)",8,8,1.8749158333333327,2.25561,2.3173383333333337,2.7504866666666645
3,FTB,Prepartum,-22,-20,-21,"[-22.0,-20.0)",109,109,1.93905333333333,2.48964333333333,2.5654959785932725,3.13338666666667
3,FTB,Prepartum,-20,-18,-19,"[-20.0,-18.0)",216,216,1.9373224999999976,2.3047750000000002,2.426322839506173,2.8347891666666705
3,FTB,Prepartum,-18,-16,-17,"[-18.0,-16.0)",176,176,1.7535450000000001,2.07560666666667,2.1957972727272725,2.6170549999999975
3,FTB,Prepartum,-16,-14,-15,"[-16.0,-14.0)",173,173,1.62644333333333,1.94613,2.0736244605009633,2.35921333333333
3,FTB,Prepartum,-14,-12,-13,"[-14.0,-12.0)",105,105,1.62976666666667,2.07525333333333,2.161099523809524,2.52509666666667
3,FTB,Prepartum,-12,-10,-11,"[-12.0,-10.0)",31,31,1.66421333333333,2.13933333333333,2.107895698924731,2.427605
3,FTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",11,11,1.664276666666665,1.86400666666667,1.8260054545454536,1.915211666666665
3,FTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",7,7,1.445995,1.72854,1.7336495238095242,1.783003333333335
3,FTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.5227499999999998,1.55622666666667,1.53858111111111,1.5632350000000002
3,FTB,Postpartum,4,6,5,"[4.0,6.0)",4,4,3.132935,3.6215725,3.5090065,3.997644
3,FTB,Postpartum,6,8,7,"[6.0,8.0)",24,24,2.9506765,3.420208,3.421609666666667,3.895045
3,FTB,Postpartum,8,10,9,"[8.0,10.0)",6,6,3.13752675,3.4978805,3.5344868333333332,4.011367
3,FTB,Postpartum,12,14,13,"[12.0,14.0)",8,8,2.9942080000000004,3.215834,3.3900705,3.6481209999999997
3,FTB,Postpartum,14,16,15,"[14.0,16.0)",12,12,2.6592905,3.027723,3.119373583333333,3.3059647500000002
3,FTB,Postpartum,16,18,17,"[16.0,18.0)",1,1,4.128421,4.128421,4.128421,4.128421
3,FTB,Postpartum,24,26,25,"[24.0,26.0)",2,2,2.7655024999999998,2.9738689999999997,2.9738689999999997,3.1822355
3,FTB,Postpartum,26,28,27,"[26.0,28.0)",11,11,2.8936605,3.158801,3.0945204545454548,3.1908835
3,FTB,Postpartum,28,30,29,"[28.0,30.0)",1,1,4.131779,4.131779,4.131779,4.131779
3,FTB,Postpartum,30,32,31,"[30.0,32.0)",2,2,3.5894285000000004,3.675975,3.675975,3.7625215
3,FTB,Postpartum,32,34,33,"[32.0,34.0)",1,1,3.71426,3.71426,3.71426,3.71426
3,FTB,Postpartum,34,36,35,"[34.0,36.0)",1,1,3.38197,3.38197,3.38197,3.38197
3,FTB,Postpartum,36,38,37,"[36.0,38.0)",1,1,3.812707,3.812707,3.812707,3.812707
3,FTB,Postpartum,38,40,39,"[38.0,40.0)",4,4,3.3804852499999996,3.8045419999999996,3.5100875,3.9341442499999997
3,FTB,Postpartum,40,42,41,"[40.0,42.0)",6,6,2.9781435,3.207904,3.1302891666666666,3.54823475
3,FTB,Postpartum,42,44,43,"[42.0,44.0)",2,2,3.17258075,3.2358725,3.2358725,3.29916425
3,FTB,Postpartum,44,46,45,"[44.0,46.0)",1,1,2.663547,2.663547,2.663547,2.663547
3,FTB,Postpartum,48,50,49,"[48.0,50.0)",1,1,2.91082,2.91082,2.91082,2.91082
3,FTB,Postpartum,50,52,51,"[50.0,52.0)",3,3,3.241694,3.414548,3.3154019999999997,3.438683
3,FTB,Postpartum,52,54,53,"[52.0,54.0)",5,5,2.952814,3.250316,3.4484848,3.39502
3,FTB,Postpartum,54,56,55,"[54.0,56.0)",4,4,2.3213945000000002,2.685853,2.5685925,2.933051
3,sPTB,Prepartum,-20,-18,-19,"[-20.0,-18.0)",2,2,2.49556166666667,2.50728666666667,2.50728666666667,2.51901166666667
3,sPTB,Prepartum,-18,-16,-17,"[-18.0,-16.0)",17,17,1.72508666666667,2.0335,2.22904431372549,2.78745
3,sPTB,Prepartum,-16,-14,-15,"[-16.0,-14.0)",27,27,1.94993166666667,2.31245,2.3755512345679013,2.726651666666665
3,sPTB,Prepartum,-14,-12,-13,"[-14.0,-12.0)",24,24,1.76011333333333,2.054036666666665,2.115560833333333,2.3201108333333327
3,sPTB,Prepartum,-12,-10,-11,"[-12.0,-10.0)",21,21,1.51541333333333,2.14687333333333,2.2441057142857144,2.91642
3,sPTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",8,8,1.437526666666665,1.642695,1.6715670833333325,1.7842383333333325
3,sPTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",6,6,1.6850874999999974,2.022785,1.983115555555555,2.3551200000000025
3,sPTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.745278333333335,1.98977,1.8840044444444468,2.075613333333335
3,sPTB,Prepartum,-4,-2,-3,"[-4.0,-2.0)",2,2,1.7118233333333301,1.7530633333333299,1.7530633333333299,1.79430333333333
3,sPTB,Prepartum,-2,0,-1,"[-2.0,0.0)",9,9,1.59046,1.68068666666667,1.7252244444444444,1.86604333333333
3,sPTB,Postpartum,6,8,7,"[6.0,8.0)",9,9,3.33414,3.698894,3.821656,4.329331
3,sPTB,Postpartum,8,10,9,"[8.0,10.0)",2,2,2.63444175,2.6613854999999997,2.6613854999999997,2.68832925
3,sPTB,Postpartum,12,14,13,"[12.0,14.0)",1,1,3.988905,3.988905,3.988905,3.988905
3,sPTB,Postpartum,14,16,15,"[14.0,16.0)",2,2,3.2799115,4.193372,4.193372,5.1068325
3,sPTB,Postpartum,16,18,17,"[16.0,18.0)",1,1,3.425857,3.425857,3.425857,3.425857
3,sPTB,Postpartum,26,28,27,"[26.0,28.0)",2,2,3.4765474999999997,3.6368359999999997,3.6368359999999997,3.7971245000000002
3,sPTB,Postpartum,28,30,29,"[28.0,30.0)",2,2,2.9705445,2.999497,2.999497,3.0284495000000002
3,sPTB,Postpartum,38,40,39,"[38.0,40.0)",1,1,3.561299,3.561299,3.561299,3.561299
3,sPTB,Postpartum,42,44,43,"[42.0,44.0)",1,1,2.575475,2.575475,2.575475,2.575475
3,sPTB,Postpartum,48,50,49,"[48.0,50.0)",1,1,3.947721,3.947721,3.947721,3.947721
3,sPTB,Postpartum,52,54,53,"[52.0,54.0)",1,1,2.878971,2.878971,2.878971,2.878971
3,sPTB,Postpartum,58,60,59,"[58.0,60.0)",1,1,3.254268,3.254268,3.254268,3.254268
4,FTB,Prepartum,-24,-22,-23,"[-24.0,-22.0)",8,8,2.030916875,2.2925312499999997,2.3506665625,2.735311875
4,FTB,Prepartum,-22,-20,-21,"[-22.0,-20.0)",109,109,1.974645,2.4827025,2.5628667278287462,3.09143
4,FTB,Prepartum,-20,-18,-19,"[-20.0,-18.0)",216,216,1.948,2.3253475000000003,2.424069212962963,2.83505375
4,FTB,Prepartum,-18,-16,-17,"[-18.0,-16.0)",176,176,1.7311762499999999,2.0868975,2.18922796875,2.557819375
4,FTB,Prepartum,-16,-14,-15,"[-16.0,-14.0)",173,173,1.654085,1.977085,2.065892605973025,2.33428
4,FTB,Prepartum,-14,-12,-13,"[-14.0,-12.0)",105,105,1.62203,2.03778,2.1446700714285716,2.4446275
4,FTB,Prepartum,-12,-10,-11,"[-12.0,-10.0)",31,31,1.7154137500000002,2.0850375,2.106911370967742,2.34490875
4,FTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",11,11,1.6342287500000001,1.8523325,1.8253988636363636,1.9428787500000002
4,FTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",7,7,1.48896125,1.6990575,1.7291239285714286,1.76782
4,FTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.523225,1.52606,1.5320408333333333,1.53786625
4,FTB,Postpartum,4,6,5,"[4.0,6.0)",4,4,3.132935,3.6215725,3.5090065,3.997644
4,FTB,Postpartum,6,8,7,"[6.0,8.0)",24,24,2.9506765,3.420208,3.421609666666667,3.895045
4,FTB,Postpartum,8,10,9,"[8.0,10.0)",6,6,3.13752675,3.4978805,3.5344868333333332,4.011367
4,FTB,Postpartum,12,14,13,"[12.0,14.0)",8,8,2.9942080000000004,3.215834,3.3900705,3.6481209999999997
4,FTB,Postpartum,14,16,15,"[14.0,16.0)",12,12,2.6592905,3.027723,3.119373583333333,3.3059647500000002
4,FTB,Postpartum,16,18,17,"[16.0,18.0)",1,1,4.128421,4.128421,4.128421,4.128421
4,FTB,Postpartum,24,26,25,"[24.0,26.0)",2,2,2.7655024999999998,2.9738689999999997,2.9738689999999997,3.1822355
4,FTB,Postpartum,26,28,27,"[26.0,28.0)",11,11,2.8936605,3.158801,3.0945204545454548,3.1908835
