k,Outcome_label,period,time_bin_left,time_bin_right,time_bin_mid,time_bin,n_obs,n_subjects,sws_q25,sws_median,sws_mean,sws_q75
4,FTB,Postpartum,28,30,29,"[28.0,30.0)",1,1,4.131779,4.131779,4.131779,4.131779
4,FTB,Postpartum,30,32,31,"[30.0,32.0)",2,2,3.5894285000000004,3.675975,3.675975,3.7625215
4,FTB,Postpartum,32,34,33,"[32.0,34.0)",1,1,3.71426,3.71426,3.71426,3.71426
4,FTB,Postpartum,34,36,35,"[34.0,36.0)",1,1,3.38197,3.38197,3.38197,3.38197
4,FTB,Postpartum,36,38,37,"[36.0,38.0)",1,1,3.812707,3.812707,3.812707,3.812707
4,FTB,Postpartum,38,40,39,"[38.0,40.0)",4,4,3.3804852499999996,3.8045419999999996,3.5100875,3.9341442499999997
4,FTB,Postpartum,40,42,41,"[40.0,42.0)",6,6,2.9781435,3.207904,3.1302891666666666,3.54823475
4,FTB,Postpartum,42,44,43,"[42.0,44.0)",2,2,3.17258075,3.2358725,3.2358725,3.29916425
4,FTB,Postpartum,44,46,45,"[44.0,46.0)",1,1,2.663547,2.663547,2.663547,2.663547
4,FTB,Postpartum,48,50,49,"[48.0,50.0)",1,1,2.91082,2.91082,2.91082,2.91082
4,FTB,Postpartum,50,52,51,"[50.0,52.0)",3,3,3.241694,3.414548,3.3154019999999997,3.438683
4,FTB,Postpartum,52,54,53,"[52.0,54.0)",5,5,2.952814,3.250316,3.4484848,3.39502
4,FTB,Postpartum,54,56,55,"[54.0,56.0)",4,4,2.3213945000000002,2.685853,2.5685925,2.933051
4,sPTB,Prepartum,-20,-18,-19,"[-20.0,-18.0)",2,2,2.536541875,2.54217625,2.54217625,2.547810625
4,sPTB,Prepartum,-18,-16,-17,"[-18.0,-16.0)",17,17,1.730075,2.03365,2.2130960294117648,2.7092875
4,sPTB,Prepartum,-16,-14,-15,"[-16.0,-14.0)",27,27,1.8944625,2.3215475,2.380167222222222,2.77229
4,sPTB,Prepartum,-14,-12,-13,"[-14.0,-12.0)",24,24,1.81990125,2.092535,2.1399970833333333,2.3810287500000005
4,sPTB,Prepartum,-12,-10,-11,"[-12.0,-10.0)",21,21,1.5009175,2.220235,2.2435565476190478,2.913155
4,sPTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",8,8,1.464788125,1.640115,1.671435,1.7664668749999999
4,sPTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",6,6,1.6388243750000002,1.9555962500000001,1.9633375,2.363035625
4,sPTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.7311912500000002,1.945505,1.8781408333333334,2.0587725
4,sPTB,Prepartum,-4,-2,-3,"[-4.0,-2.0)",2,2,1.706906875,1.8066637500000002,1.8066637500000002,1.9064206250000002
4,sPTB,Prepartum,-2,0,-1,"[-2.0,0.0)",9,9,1.5228725,1.760355,1.7244502777777777,1.8206675
4,sPTB,Postpartum,6,8,7,"[6.0,8.0)",9,9,3.33414,3.698894,3.821656,4.329331
4,sPTB,Postpartum,8,10,9,"[8.0,10.0)",2,2,2.63444175,2.6613854999999997,2.6613854999999997,2.68832925
4,sPTB,Postpartum,12,14,13,"[12.0,14.0)",1,1,3.988905,3.988905,3.988905,3.988905
4,sPTB,Postpartum,14,16,15,"[14.0,16.0)",2,2,3.2799115,4.193372,4.193372,5.1068325
4,sPTB,Postpartum,16,18,17,"[16.0,18.0)",1,1,3.425857,3.425857,3.425857,3.425857
4,sPTB,Postpartum,26,28,27,"[26.0,28.0)",2,2,3.4765474999999997,3.6368359999999997,3.6368359999999997,3.7971245000000002
4,sPTB,Postpartum,28,30,29,"[28.0,30.0)",2,2,2.9705445,2.999497,2.999497,3.0284495000000002
4,sPTB,Postpartum,38,40,39,"[38.0,40.0)",1,1,3.561299,3.561299,3.561299,3.561299
4,sPTB,Postpartum,42,44,43,"[42.0,44.0)",1,1,2.575475,2.575475,2.575475,2.575475
4,sPTB,Postpartum,48,50,49,"[48.0,50.0)",1,1,3.947721,3.947721,3.947721,3.947721
4,sPTB,Postpartum,52,54,53,"[52.0,54.0)",1,1,2.878971,2.878971,2.878971,2.878971
4,sPTB,Postpartum,58,60,59,"[58.0,60.0)",1,1,3.254268,3.254268,3.254268,3.254268
5,FTB,Prepartum,-24,-22,-23,"[-24.0,-22.0)",8,8,1.9691584999999998,2.230045,2.310063,2.7318465
5,FTB,Prepartum,-22,-20,-21,"[-22.0,-20.0)",109,109,1.992538,2.451436,2.5682391834862384,3.099844
5,FTB,Prepartum,-20,-18,-19,"[-20.0,-18.0)",216,216,1.954031,2.323725,2.4213666666666667,2.8123299999999998
5,FTB,Prepartum,-18,-16,-17,"[-18.0,-16.0)",176,176,1.707384,2.07346,2.190472738636364,2.5912395000000004
5,FTB,Prepartum,-16,-14,-15,"[-16.0,-14.0)",173,173,1.652334,1.967226,2.070469335260116,2.33952
5,FTB,Prepartum,-14,-12,-13,"[-14.0,-12.0)",105,105,1.617068,2.06062,2.1341199428571427,2.457242
5,FTB,Prepartum,-12,-10,-11,"[-12.0,-10.0)",31,31,1.7445249999999999,2.028238,2.1141212903225806,2.3823049999999997
5,FTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",11,11,1.5836640000000002,1.83709,1.8035038181818182,1.9254280000000001
5,FTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",7,7,1.5342889999999998,1.69018,1.7460508571428572,1.762391
5,FTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.5252880000000002,1.546032,1.5343846666666667,1.549305
5,FTB,Postpartum,4,6,5,"[4.0,6.0)",4,4,3.132935,3.6215725,3.5090065,3.997644
5,FTB,Postpartum,6,8,7,"[6.0,8.0)",24,24,2.9506765,3.420208,3.421609666666667,3.895045
5,FTB,Postpartum,8,10,9,"[8.0,10.0)",6,6,3.13752675,3.4978805,3.5344868333333332,4.011367
5,FTB,Postpartum,12,14,13,"[12.0,14.0)",8,8,2.9942080000000004,3.215834,3.3900705,3.6481209999999997
5,FTB,Postpartum,14,16,15,"[14.0,16.0)",12,12,2.6592905,3.027723,3.119373583333333,3.3059647500000002
5,FTB,Postpartum,16,18,17,"[16.0,18.0)",1,1,4.128421,4.128421,4.128421,4.128421
5,FTB,Postpartum,24,26,25,"[24.0,26.0)",2,2,2.7655024999999998,2.9738689999999997,2.9738689999999997,3.1822355
5,FTB,Postpartum,26,28,27,"[26.0,28.0)",11,11,2.8936605,3.158801,3.0945204545454548,3.1908835
5,FTB,Postpartum,28,30,29,"[28.0,30.0)",1,1,4.131779,4.131779,4.131779,4.131779
5,FTB,Postpartum,30,32,31,"[30.0,32.0)",2,2,3.5894285000000004,3.675975,3.675975,3.7625215
5,FTB,Postpartum,32,34,33,"[32.0,34.0)",1,1,3.71426,3.71426,3.71426,3.71426
5,FTB,Postpartum,34,36,35,"[34.0,36.0)",1,1,3.38197,3.38197,3.38197,3.38197
5,FTB,Postpartum,36,38,37,"[36.0,38.0)",1,1,3.812707,3.812707,3.812707,3.812707
5,FTB,Postpartum,38,40,39,"[38.0,40.0)",4,4,3.3804852499999996,3.8045419999999996,3.5100875,3.9341442499999997
5,FTB,Postpartum,40,42,41,"[40.0,42.0)",6,6,2.9781435,3.207904,3.1302891666666666,3.54823475
5,FTB,Postpartum,42,44,43,"[42.0,44.0)",2,2,3.17258075,3.2358725,3.2358725,3.29916425
5,FTB,Postpartum,44,46,45,"[44.0,46.0)",1,1,2.663547,2.663547,2.663547,2.663547
5,FTB,Postpartum,48,50,49,"[48.0,50.0)",1,1,2.91082,2.91082,2.91082,2.91082
5,FTB,Postpartum,50,52,51,"[50.0,52.0)",3,3,3.241694,3.414548,3.3154019999999997,3.438683
5,FTB,Postpartum,52,54,53,"[52.0,54.0)",5,5,2.952814,3.250316,3.4484848,3.39502
5,FTB,Postpartum,54,56,55,"[54.0,56.0)",4,4,2.3213945000000002,2.685853,2.5685925,2.933051
5,sPTB,Prepartum,-20,-18,-19,"[-20.0,-18.0)",2,2,2.5572044999999997,2.558261,2.558261,2.5593175
5,sPTB,Prepartum,-18,-16,-17,"[-18.0,-16.0)",17,17,1.726206,2.027398,2.199336,2.722674
5,sPTB,Prepartum,-16,-14,-15,"[-16.0,-14.0)",27,27,1.818077,2.296354,2.3615283703703702,2.744526
5,sPTB,Prepartum,-14,-12,-13,"[-14.0,-12.0)",24,24,1.8130214999999998,2.0875399999999997,2.143582,2.339846
5,sPTB,Prepartum,-12,-10,-11,"[-12.0,-10.0)",21,21,1.53511,2.033052,2.2253810476190474,2.946768
5,sPTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",8,8,1.4727885,1.63798,1.677159,1.811294
5,sPTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",6,6,1.6294235,1.9254890000000002,1.9453586666666667,2.3241259999999997
5,sPTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.761728,1.965994,1.900304,2.071725
5,sPTB,Prepartum,-4,-2,-3,"[-4.0,-2.0)",2,2,1.6823285000000001,1.801459,1.801459,1.9205895
5,sPTB,Prepartum,-2,0,-1,"[-2.0,0.0)",9,9,1.530172,1.784336,1.7158431111111112,1.826452
5,sPTB,Postpartum,6,8,7,"[6.0,8.0)",9,9,3.33414,3.698894,3.821656,4.329331
5,sPTB,Postpartum,8,10,9,"[8.0,10.0)",2,2,2.63444175,2.6613854999999997,2.6613854999999997,2.68832925
5,sPTB,Postpartum,12,14,13,"[12.0,14.0)",1,1,3.988905,3.988905,3.988905,3.988905
5,sPTB,Postpartum,14,16,15,"[14.0,16.0)",2,2,3.2799115,4.193372,4.193372,5.1068325
5,sPTB,Postpartum,16,18,17,"[16.0,18.0)",1,1,3.425857,3.425857,3.425857,3.425857
5,sPTB,Postpartum,26,28,27,"[26.0,28.0)",2,2,3.4765474999999997,3.6368359999999997,3.6368359999999997,3.7971245000000002
5,sPTB,Postpartum,28,30,29,"[28.0,30.0)",2,2,2.9705445,2.999497,2.999497,3.0284495000000002
5,sPTB,Postpartum,38,40,39,"[38.0,40.0)",1,1,3.561299,3.561299,3.561299,3.561299
5,sPTB,Postpartum,42,44,43,"[42.0,44.0)",1,1,2.575475,2.575475,2.575475,2.575475
5,sPTB,Postpartum,48,50,49,"[48.0,50.0)",1,1,3.947721,3.947721,3.947721,3.947721
5,sPTB,Postpartum,52,54,53,"[52.0,54.0)",1,1,2.878971,2.878971,2.878971,2.878971
5,sPTB,Postpartum,58,60,59,"[58.0,60.0)",1,1,3.254268,3.254268,3.254268,3.254268
6,FTB,Prepartum,-24,-22,-23,"[-24.0,-22.0)",8,8,1.94188458333333,2.202026666666665,2.2933418749999976,2.7204524999999977
6,FTB,Prepartum,-22,-20,-21,"[-22.0,-20.0)",109,109,1.97631166666667,2.466285,2.5617624006116206,3.09735166666667
6,FTB,Prepartum,-20,-18,-19,"[-20.0,-18.0)",216,216,1.9332712500000002,2.321094166666665,2.4195932793209876,2.819281250000002
6,FTB,Prepartum,-18,-16,-17,"[-18.0,-16.0)",176,176,1.7134191666666676,2.10448416666667,2.1890676609848487,2.555962083333335
6,FTB,Prepartum,-16,-14,-15,"[-16.0,-14.0)",173,173,1.65897666666667,1.98017833333333,2.0688177938342966,2.35020333333333
6,FTB,Prepartum,-14,-12,-13,"[-14.0,-12.0)",105,105,1.61672,2.03844833333333,2.1243920634920634,2.489135
6,FTB,Prepartum,-12,-10,-11,"[-12.0,-10.0)",31,31,1.771523333333335,2.04282666666667,2.106597365591398,2.37838833333333
6,FTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",11,11,1.58976083333333,1.848725,1.816837121212122,1.9781333333333349
6,FTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",7,7,1.548808333333335,1.71282666666667,1.7449747619047629,1.758240833333335
6,FTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.52311416666667,1.5461466666666701,1.54600777777778,1.568970833333335
6,FTB,Postpartum,4,6,5,"[4.0,6.0)",4,4,3.132935,3.6215725,3.5090065,3.997644
6,FTB,Postpartum,6,8,7,"[6.0,8.0)",24,24,2.9506765,3.420208,3.421609666666667,3.895045
6,FTB,Postpartum,8,10,9,"[8.0,10.0)",6,6,3.13752675,3.4978805,3.5344868333333332,4.011367
6,FTB,Postpartum,12,14,13,"[12.0,14.0)",8,8,2.9942080000000004,3.215834,3.3900705,3.6481209999999997
6,FTB,Postpartum,14,16,15,"[14.0,16.0)",12,12,2.6592905,3.027723,3.119373583333333,3.3059647500000002
6,FTB,Postpartum,16,18,17,"[16.0,18.0)",1,1,4.128421,4.128421,4.128421,4.128421
6,FTB,Postpartum,24,26,25,"[24.0,26.0)",2,2,2.7655024999999998,2.9738689999999997,2.9738689999999997,3.1822355
6,FTB,Postpartum,26,28,27,"[26.0,28.0)",11,11,2.8936605,3.158801,3.0945204545454548,3.1908835
6,FTB,Postpartum,28,30,29,"[28.0,30.0)",1,1,4.131779,4.131779,4.131779,4.131779
6,FTB,Postpartum,30,32,31,"[30.0,32.0)",2,2,3.5894285000000004,3.675975,3.675975,3.7625215
6,FTB,Postpartum,32,34,33,"[32.0,34.0)",1,1,3.71426,3.71426,3.71426,3.71426
6,FTB,Postpartum,34,36,35,"[34.0,36.0)",1,1,3.38197,3.38197,3.38197,3.38197
6,FTB,Postpartum,36,38,37,"[36.0,38.0)",1,1,3.812707,3.812707,3.812707,3.812707
6,FTB,Postpartum,38,40,39,"[38.0,40.0)",4,4,3.3804852499999996,3.8045419999999996,3.5100875,3.9341442499999997
6,FTB,Postpartum,40,42,41,"[40.0,42.0)",6,6,2.9781435,3.207904,3.1302891666666666,3.54823475
6,FTB,Postpartum,42,44,43,"[42.0,44.0)",2,2,3.17258075,3.2358725,3.2358725,3.29916425
6,FTB,Postpartum,44,46,45,"[44.0,46.0)",1,1,2.663547,2.663547,2.663547,2.663547
6,FTB,Postpartum,48,50,49,"[48.0,50.0)",1,1,2.91082,2.91082,2.91082,2.91082
6,FTB,Postpartum,50,52,51,"[50.0,52.0)",3,3,3.241694,3.414548,3.3154019999999997,3.438683
6,FTB,Postpartum,52,54,53,"[52.0,54.0)",5,5,2.952814,3.250316,3.4484848,3.39502
6,FTB,Postpartum,54,56,55,"[54.0,56.0)",4,4,2.3213945000000002,2.685853,2.5685925,2.933051
6,sPTB,Prepartum,-20,-18,-19,"[-20.0,-18.0)",2,2,2.5352770833333325,2.573649166666665,2.573649166666665,2.6120212499999975
6,sPTB,Prepartum,-18,-16,-17,"[-18.0,-16.0)",17,17,1.75851333333333,2.03201,2.194542450980391,2.65154
6,sPTB,Prepartum,-16,-14,-15,"[-16.0,-14.0)",27,27,1.78528,2.27906166666667,2.3514721604938273,2.677069166666665
6,sPTB,Prepartum,-14,-12,-13,"[-14.0,-12.0)",24,24,1.8048670833333302,2.0728875,2.154448402777777,2.28253708333333
6,sPTB,Prepartum,-12,-10,-11,"[-12.0,-10.0)",21,21,1.57249666666667,1.96159666666667,2.2167904761904764,2.91652833333333
6,sPTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",8,8,1.4871762499999999,1.664459166666665,1.682921875,1.807925833333335
6,sPTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",6,6,1.61082916666667,1.910665833333335,1.928725555555555,2.256689999999997
6,sPTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.7688375,1.96411333333333,1.9083222222222234,2.0757025000000002
6,sPTB,Prepartum,-4,-2,-3,"[-4.0,-2.0)",2,2,1.6649279166666697,1.8028891666666698,1.8028891666666698,1.9408504166666698
6,sPTB,Prepartum,-2,0,-1,"[-2.0,0.0)",9,9,1.49683333333333,1.78234,1.7232129629629622,1.83013833333333
6,sPTB,Postpartum,6,8,7,"[6.0,8.0)",9,9,3.33414,3.698894,3.821656,4.329331
6,sPTB,Postpartum,8,10,9,"[8.0,10.0)",2,2,2.63444175,2.6613854999999997,2.6613854999999997,2.68832925
6,sPTB,Postpartum,12,14,13,"[12.0,14.0)",1,1,3.988905,3.988905,3.988905,3.988905
6,sPTB,Postpartum,14,16,15,"[14.0,16.0)",2,2,3.2799115,4.193372,4.193372,5.1068325
6,sPTB,Postpartum,16,18,17,"[16.0,18.0)",1,1,3.425857,3.425857,3.425857,3.425857
6,sPTB,Postpartum,26,28,27,"[26.0,28.0)",2,2,3.4765474999999997,3.6368359999999997,3.6368359999999997,3.7971245000000002
6,sPTB,Postpartum,28,30,29,"[28.0,30.0)",2,2,2.9705445,2.999497,2.999497,3.0284495000000002
6,sPTB,Postpartum,38,40,39,"[38.0,40.0)",1,1,3.561299,3.561299,3.561299,3.561299
6,sPTB,Postpartum,42,44,43,"[42.0,44.0)",1,1,2.575475,2.575475,2.575475,2.575475
6,sPTB,Postpartum,48,50,49,"[48.0,50.0)",1,1,3.947721,3.947721,3.947721,3.947721
6,sPTB,Postpartum,52,54,53,"[52.0,54.0)",1,1,2.878971,2.878971,2.878971,2.878971
6,sPTB,Postpartum,58,60,59,"[58.0,60.0)",1,1,3.254268,3.254268,3.254268,3.254268
7,FTB,Prepartum,-24,-22,-23,"[-24.0,-22.0)",8,8,1.8879907142857126,2.167074285714285,2.26230982142857,2.6979817857142847
7,FTB,Prepartum,-22,-20,-21,"[-22.0,-20.0)",109,109,1.97121571428571,2.43697142857143,2.5621084622105723,3.12215142857143
7,FTB,Prepartum,-20,-18,-19,"[-20.0,-18.0)",216,216,1.93339214285714,2.311282142857145,2.4160747949735453,2.82029142857143
7,FTB,Prepartum,-18,-16,-17,"[-18.0,-16.0)",176,176,1.6971224999999974,2.08795214285714,2.187641534090909,2.580714285714285
7,FTB,Prepartum,-16,-14,-15,"[-16.0,-14.0)",173,173,1.66144857142857,1.99020857142857,2.0743432920451417,2.33999428571429
7,FTB,Prepartum,-14,-12,-13,"[-14.0,-12.0)",105,105,1.61089285714286,2.05073,2.1199271836734694,2.45396571428571
7,FTB,Prepartum,-12,-10,-11,"[-12.0,-10.0)",31,31,1.7491828571428552,2.03681428571429,2.0987165437788016,2.35173142857143
7,FTB,Prepartum,-10,-8,-9,"[-10.0,-8.0)",11,11,1.5795035714285701,1.84634714285714,1.8006751948051944,1.934925714285715
7,FTB,Prepartum,-8,-6,-7,"[-8.0,-6.0)",7,7,1.5469585714285699,1.68442142857143,1.7502679591836743,1.77089
7,FTB,Prepartum,-6,-4,-5,"[-6.0,-4.0)",3,3,1.5141478571428548,1.54554857142857,1.5352128571428567,1.561445714285715
7,FTB,Postpartum,4,6,5,"[4.0,6.0)",4,4,3.132935,3.6215725,3.5090065,3.997644
7,FTB,Postpartum,6,8,7,"[6.0,8.0)",24,24,2.9506765,3.420208,3.421609666666667,3.895045
7,FTB,Postpartum,8,10,9,"[8.0,10.0)",6,6,3.13752675,3.4978805,3.5344868333333332,4.011367
7,FTB,Postpartum,12,14,13,"[12.0,14.0)",8,8,2.9942080000000004,3.215834,3.3900705,3.6481209999999997
7,FTB,Postpartum,14,16,15,"[14.0,16.0)",12,12,2.6592905,3.027723,3.119373583333333,3.3059647500000002
7,FTB,Postpartum,16,18,17,"[16.0,18.0)",1,1,4.128421,4.128421,4.128421,4.128421
7,FTB,Postpartum,24,26,25,"[24.0,26.0)",2,2,2.7655024999999998,2.9738689999999997,2.9738689999999997,3.1822355
7,FTB,Postpartum,26,28,27,"[26.0,28.0)",11,11,2.8936605,3.158801,3.0945204545454548,3.1908835
7,FTB,Postpartum,28,30,29,"[28.0,30.0)",1,1,4.131779,4.131779,4.131779,4.131779
7,FTB,Postpartum,30,32,31,"[30.0,32.0)",2,2,3.5894285000000004,3.675975,3.675975,3.7625215
7,FTB,Postpartum,32,34,33,"[32.0,34.0)",1,1,3.71426,3.71426,3.71426,3.71426
7,FTB,Postpartum,34,36,35,"[34.0,36.0)",1,1,3.38197,3.38197,3.38197,3.38197
7,FTB,Postpartum,36,38,37,"[36.0,38.0)",1,1,3.812707,3.812707,3.812707,3.812707
7,FTB,Postpartum,38,40,39,"[38.0,40.0)",4,4,3.3804852499999996,3.8045419999999996,3.5100875,3.9341442499999997
7,FTB,Postpartum,40,42,41,"[40.0,42.0)",6,6,2.9781435,3.207904,3.1302891666666666,3.54823475
7,FTB,Postpartum,42,44,43,"[42.0,44.0)",2,2,3.17258075,3.2358725,3.2358725,3.29916425
7,FTB,Postpartum,44,46,45,"[44.0,46.0)",1,1,2.663547,2.663547,2.663547,2.663547
7,FTB,Postpartum,48,50,49,"[48.0,50.0)",1,1,2.91082,2.91082,2.91082,2.91082
7,FTB,Postpartum,50,52,51,"[50.0,52.0)",3,3,3.241694,3.414548,3.3154019999999997,3.438683
7,FTB,Postpartum,52,54,53,"[52.0,54.0)",5,5,2.952814,3.250316,3.4484848,3.39502
7,FTB,Postpartum,54,56,55,"[54.0,56.0)",4,4,2.3213945000000002,2.685853,2.5685925,2.933051
7,sPTB,Prepartum,-20,-18,-19,"[-20.0,-18.0)",2,2,2.52968464285714,2.5776935714285703,2.5776935714285703,2.6257025
7,sPTB,Prepartum,-18,-16,-17,"[-18.0,-16.0)",17,17,1.75260857142857,1.98479857142857,2.1803648739495793,2.57713142857143
7,sPTB,Prepartum,-16,-14,-15,"[-16.0,-14.0)",27,27,1.773919285714285,2.28562,2.3443794708994705,2.666191428571425
7,sPTB,Prepartum,-14,-12,-13,"[-14.0,-12.0)",24,24,1.7912442857142823,2.04738857142857,2.1542950595238106,2.2988025000000025
